drivers/ufs/ti-j721e-ufs.c:ti,j721e-ufs
drivers/net/ftgmac100.c:faraday,ftgmac100
drivers/net/ftgmac100.c:aspeed,ast2500-mac
drivers/net/ftgmac100.c:aspeed,ast2600-mac
drivers/watchdog/sbsa_gwdt.c:arm,sbsa-gwdt
drivers/tpm/cr50_i2c.c:google,cr50
drivers/watchdog/sandbox_wdt.c:sandbox,wdt
drivers/watchdog/rti_wdt.c:ti,j7-rti-wdt
drivers/watchdog/tangier_wdt.c:intel,tangier-wdt
drivers/watchdog/mt7620_wdt.c:mediatek,mt7620-wdt
drivers/reset/sti-reset.c:st,stih407-picophyreset
drivers/reset/sti-reset.c:st,stih407-powerdown
drivers/reset/sti-reset.c:st,stih407-softreset
drivers/watchdog/atcwdt200_wdt.c:andestech,atcwdt200
drivers/watchdog/sunxi_wdt.c:allwinner,sun4i-a10-wdt
drivers/watchdog/sunxi_wdt.c:allwinner,sun6i-a31-wdt
drivers/watchdog/sunxi_wdt.c:allwinner,sun20i-d1-wdt
drivers/smem/msm_smem.c:qcom,smem
drivers/net/sandbox-raw.c:sandbox,eth-raw
drivers/net/dwmac_meson8b.c:amlogic,meson-gxbb-dwmac
drivers/net/dwmac_meson8b.c:amlogic,meson-g12a-dwmac
drivers/net/dwmac_meson8b.c:amlogic,meson-axg-dwmac
drivers/tpm/tpm_tis_st33zp24_i2c.c:st,st33zp24-i2c
drivers/reset/reset-at91.c:microchip,sama7g5-rstc
drivers/reset/reset-at91.c:atmel,sama5d3-rstc
drivers/reset/reset-at91.c:microchip,sam9x60-rstc
drivers/smem/sandbox_smem.c:sandbox,smem
drivers/net/ftmac100.c:andestech,atmac100
drivers/net/mv88e6xxx.c:marvell,mv88e6085
drivers/pinctrl/pinctrl-at91.c:atmel,sama5d3-pinctrl
drivers/pinctrl/pinctrl-at91.c:atmel,at91sam9x5-pinctrl
drivers/pinctrl/pinctrl-at91.c:atmel,at91rm9200-pinctrl
drivers/pinctrl/pinctrl-at91.c:microchip,sam9x60-pinctrl
drivers/watchdog/meson_gxbb_wdt.c:amlogic,meson-gxbb-wdt
drivers/pinctrl/exynos/pinctrl-exynos7420.c:samsung,exynos7420-pinctrl
drivers/tpm/tpm_tis_lpc.c:infineon,slb9635lpc
drivers/tpm/tpm_tis_lpc.c:atmel,at97sc3204
drivers/pinctrl/pinctrl-sti.c:st,stih407-sbc-pinctrl
drivers/pinctrl/pinctrl-sti.c:st,stih407-front-pinctrl
drivers/pinctrl/pinctrl-sti.c:st,stih407-rear-pinctrl
